,A.niche.overlap
1,0.75177736
2,0.75277384
3,0.753261582
4,0.752318039
5,0.752470303
6,0.752728622
7,0.752729877
8,0.753737244
9,0.750230992
10,0.750736404
11,0.751927625
12,0.752547643
13,0.752895582
14,0.752121647
15,0.751081912
16,0.751676963
17,0.752102337
18,0.753161076
19,0.751420277
20,0.752585752
21,0.751937301
22,0.754260718
23,0.752041602
24,0.752145864
25,0.751808573
26,0.752661553
27,0.752754828
28,0.75277711
29,0.752034772
30,0.752586517
31,0.752114025
32,0.752007467
33,0.750941051
34,0.751581204
35,0.753171165
36,0.751684348
37,0.751670067
38,0.751356047
39,0.751535182
40,0.752499674
41,0.752025417
42,0.753219873
43,0.751620679
44,0.752029154
45,0.752062165
46,0.750079249
47,0.75196338
48,0.753261308
49,0.751741216
50,0.751932793
51,0.752196579
52,0.75122356
53,0.751641383
54,0.752203097
55,0.751974681
56,0.752550573
57,0.752435168
58,0.752811411
59,0.752142342
60,0.752922033
61,0.753334465
62,0.752751289
63,0.752204707
64,0.752348794
65,0.751206106
66,0.750887461
67,0.751651944
68,0.752115391
69,0.750018235
70,0.751550258
71,0.750932789
72,0.752156838
73,0.751377819
74,0.754542567
75,0.75207639
76,0.75233753
77,0.752152126
78,0.752013022
79,0.750737628
80,0.751570422
81,0.752498947
82,0.752640073
83,0.753093548
84,0.751607066
85,0.751856857
86,0.750174348
87,0.752018706
88,0.753734808
89,0.751241115
90,0.752237871
91,0.751553705
92,0.751181149
93,0.750021779
94,0.751913174
95,0.751861557
96,0.752464694
97,0.751364807
98,0.752236576
99,0.750783384
